corridor_period,tmc_code,minute,mean_tt,p95_tt,days,start_latitude,length_mi,distance_end_mi,distance_start_mi,t0_min,tti,pti95,gamma95
I-95 NB AM,110+04147,585,1.6130434782608696,1.7319999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0578548215440262,1.1358680504320167,1.0737466307277626
I-95 NB AM,110+04147,590,1.622608695652174,1.757,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0641278150949611,1.1522633744855968,1.082824222936763
I-95 NB AM,110+04147,595,1.6382608695652174,1.8869999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0743927136328546,1.2375190595642123,1.1518312101910826
I-95 NB AM,110+04147,600,1.6339130434782607,1.8849999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.071541352927884,1.2362074336399258,1.153672166045769
I-95 NB AM,110+04147,605,1.6034782608695652,1.7229999999999999,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0515818279930913,1.129965733772728,1.0745390455531452
I-95 NB AM,110+04147,610,1.6552173913043478,1.7979999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0855130203822392,1.1791517059334677,1.0862621486734962
I-95 NB AM,110+04147,615,1.6421739130434785,1.6849999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0769589382673281,1.1050448412112865,1.0260788985967697
I-95 NB AM,110+04147,620,1.6199999999999999,1.6489999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0624169986719787,1.0814355745741313,1.0179012345679013
I-95 NB AM,110+04147,625,1.5926086956521741,1.6489999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0444534262306653,1.0814355745741313,1.0354081354081353
I-95 NB AM,110+04147,630,1.6043478260869564,1.7209999999999999,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0521521001340852,1.1286541078484416,1.072710027100271
I-95 NB AM,110+04147,635,1.6121739130434782,1.7129999999999999,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.057284549403032,1.1234076041512961,1.0625404530744336
I-95 NB AM,110+04147,640,1.6134782608695653,1.6949999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0581399576145232,1.1116029708327184,1.0505254648342763
I-95 NB AM,110+04147,645,1.6500000000000001,1.716,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0820913875362748,1.1253750430377256,1.0399999999999998
I-95 NB AM,110+04147,650,1.6386956521739133,1.7209999999999999,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0746778497033518,1.1286541078484416,1.050225524011674
I-95 NB AM,110+04147,655,1.6056521739130434,1.6969999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0530075083455763,1.1129145967570049,1.0568914161927971
