pair,facility,tmc_code,length_mi,weekdays,mean_T_min,T95_min,TTI,PTI95,gamma95,buffer_index
I-95 SB PM,ML,110N04667,1.1497033333333335,23,0.9588134057971015,0.9667916666666666,0.9868596799115452,0.9950713130826984,1.0083209734254106,0.008320973425410605
I-95 SB PM,ML,110N04668,0.6902,23,0.586893115942029,0.5980416666666666,0.9920438065281084,1.0108885508226277,1.0189958791844798,0.018995879184479758
I-95 SB PM,ML,110N04669,0.4652666666666667,23,0.40985507246376807,0.41560416666666666,0.9983573910136203,1.0123614892295933,1.0140271393210751,0.014027139321075133
I-95 NB AM,GP,110+04147,1.8299433333333333,23,1.8427657004830917,1.6868888888888889,1.1244911220599467,1.0293720894413447,0.9154114863580656,-0.08458851364193443
I-95 NB AM,GP,110+04148,1.9782266666666666,23,1.9812198067632851,2.111916666666666,1.1016643462358275,1.174338801755107,1.0659678746685357,0.06596787466853571
I-95 NB AM,GP,110+04149,3.040486666666667,23,3.15638888888889,3.5282499999999994,1.1073276037437478,1.2377843020744483,1.1178121974830586,0.1178121974830586
I-95 NB AM,GP,110+04150,0.5235,23,0.6381884057971015,1.2198055555555551,1.3206700533846418,2.5242712865683252,1.9113564967260885,0.9113564967260885
I-95 NB AM,GP,110+04151,0.6478999999999999,23,1.2561835748792272,1.939638888888889,2.035796810654713,3.1434184802181413,1.5440727992923893,0.5440727992923893
I-95 NB AM,GP,110+04152,1.1286,23,1.8164855072463766,2.3123611111111106,1.6899785420952464,2.1513194813633403,1.2729862704032444,0.2729862704032444
I-95 NB AM,GP,110+04153,0.49192500000000006,23,0.5663285024154591,0.985444444444444,1.2088121716445228,2.103403296572986,1.740058005629957,0.740058005629957
I-95 NB AM,GP,110+04154,1.4955600000000002,23,2.7484903381642507,4.412305555555555,2.021543349635371,3.245296819325945,1.6053560364714932,0.6053560364714932
I-95 NB AM,GP,110+04155,2.396443333333333,23,4.581050724637682,6.514388888888887,2.0071842275439713,2.8542750158916057,1.4220294164946436,0.42202941649464365
I-95 NB AM,GP,110+04156,0.43662249999999997,23,0.8737560386473432,1.128,2.0011704358967832,2.583467411780199,1.2909782022751457,0.2909782022751457
I-95 NB AM,GP,110+04158,0.1573466666666667,23,0.22013285024154594,0.2931666666666666,1.352396546268289,1.8010832415332025,1.331771547703955,0.3317715477039549
I-95 NB AM,ML,110+04658,5.915000000000001,23,4.959287439613526,5.086277777777778,1.0200844832115732,1.0462053473591935,1.0256065694337226,0.025606569433722637
I-95 NB AM,ML,110+04660,3.0458333333333334,23,2.5464975845410627,2.5610833333333334,1.0032712781776008,1.0090177838577292,1.0057277685558454,0.005727768555845447
I-95 NB AM,ML,110+04662,0.9309999999999999,23,0.7890700483091786,0.8047500000000001,0.9888095843473417,1.0084586466165415,1.0198714318512285,0.019871431851228527
I-95 NB AM,ML,110+04663,0.516,23,0.4331521739130435,0.4349722222222222,1.007330637007078,1.01156330749354,1.004201868116548,0.004201868116548102
