link_id,date_local,threshold_multiplier,vc_mph,threshold_speed_mph,demand_capacity_ratio,capacity_vph_link,episode_identified,duration_bins,duration_h,congested_passed_volume_veh,capacity_equivalent_hours,episode_start_local,episode_end_local,minimum_speed_mph,minimum_speed_time_local,touches_data_start,touches_data_end
L405S-132,2025-09-10,0.950000,45.596602,43.316772,0.980954,8068.000000,True,28,2.333333,11774.333333,1.459387,2025-09-10T07:25:00-07:00,2025-09-10T09:45:00-07:00,20.633333,2025-09-10T08:25:00-07:00,False,False
L405S-132,2025-09-11,0.950000,45.596602,43.316772,0.967361,8068.000000,True,31,2.583333,14504.666667,1.797802,2025-09-11T07:15:00-07:00,2025-09-11T09:50:00-07:00,23.366667,2025-09-11T08:05:00-07:00,False,False
L405S-132,2025-09-12,0.950000,45.596602,43.316772,0.905801,8068.000000,True,13,1.083333,7465.333333,0.925302,2025-09-12T06:55:00-07:00,2025-09-12T08:00:00-07:00,38.566667,2025-09-12T07:00:00-07:00,False,False
L405S-132,2025-09-15,0.950000,45.596602,43.316772,1.014295,8068.000000,True,18,1.500000,10341.666667,1.281813,2025-09-15T07:20:00-07:00,2025-09-15T08:50:00-07:00,32.166667,2025-09-15T07:35:00-07:00,False,False
L405S-132,2025-09-16,0.950000,45.596602,43.316772,0.881342,8068.000000,True,36,3.000000,14633.000000,1.813708,2025-09-16T06:55:00-07:00,2025-09-16T09:55:00-07:00,19.266667,2025-09-16T08:50:00-07:00,False,False
L405S-132,2025-09-17,0.950000,45.596602,43.316772,0.875764,8068.000000,True,41,3.416667,17999.000000,2.230912,2025-09-17T06:40:00-07:00,2025-09-17T10:05:00-07:00,21.066667,2025-09-17T08:55:00-07:00,False,False
L405S-132,2025-09-18,0.950000,45.596602,43.316772,0.977814,8068.000000,True,27,2.250000,12320.666667,1.527103,2025-09-18T07:15:00-07:00,2025-09-18T09:30:00-07:00,22.266667,2025-09-18T07:55:00-07:00,False,False
L405S-132,2025-09-19,0.950000,45.596602,43.316772,0.976987,8068.000000,True,22,1.833333,12435.666667,1.541357,2025-09-19T07:25:00-07:00,2025-09-19T09:15:00-07:00,32.333333,2025-09-19T07:45:00-07:00,False,False
L405S-132,2025-09-22,0.950000,45.596602,43.316772,1.000165,8068.000000,True,24,2.000000,13365.000000,1.656544,2025-09-22T06:55:00-07:00,2025-09-22T08:55:00-07:00,27.333333,2025-09-22T07:50:00-07:00,False,False
L405S-132,2025-09-23,0.950000,45.596602,43.316772,0.879855,8068.000000,True,37,3.083333,15494.333333,1.920468,2025-09-23T06:45:00-07:00,2025-09-23T09:50:00-07:00,17.866667,2025-09-23T07:55:00-07:00,False,False
L405S-132,2025-09-24,0.950000,45.596602,43.316772,0.854363,8068.000000,True,35,2.916667,14483.333333,1.795158,2025-09-24T06:45:00-07:00,2025-09-24T09:40:00-07:00,20.300000,2025-09-24T08:25:00-07:00,False,False
L405S-132,2025-09-25,0.950000,45.596602,43.316772,0.754793,8068.000000,True,36,3.000000,15837.666667,1.963023,2025-09-25T06:50:00-07:00,2025-09-25T09:50:00-07:00,21.100000,2025-09-25T08:10:00-07:00,False,False
L405S-114,2025-09-05,1.000000,45.468734,45.468734,0.953593,6600.300000,True,13,1.083333,6325.000000,0.958290,2025-09-05T06:50:00-07:00,2025-09-05T07:55:00-07:00,35.700000,2025-09-05T07:10:00-07:00,False,False
L405S-114,2025-09-08,1.000000,45.468734,45.468734,0.926928,6600.300000,True,32,2.666667,12386.500000,1.876657,2025-09-08T06:45:00-07:00,2025-09-08T09:25:00-07:00,24.550000,2025-09-08T08:45:00-07:00,False,False
L405S-114,2025-09-09,1.000000,45.468734,45.468734,0.859128,6600.300000,True,41,3.416667,15563.500000,2.357999,2025-09-09T06:30:00-07:00,2025-09-09T09:55:00-07:00,19.650000,2025-09-09T08:50:00-07:00,False,False
