mean_dc,mu_ln_dc,sigma_ln_dc,expected_tti,shrp2_tti95,tti_50,gamma_50,delay_dominant_gamma_50,tti_80,gamma_80,delay_dominant_gamma_80,tti_90,gamma_90,delay_dominant_gamma_90,tti_95,gamma_95,delay_dominant_gamma_95,empirical_support,sigma_model,alpha,beta
0.57,-0.5628243140858805,0.037560509377250154,1.102735271679101,1.358902893390313,1.102507880417207,0.9997937934264606,0.9977866290887494,1.1084150513034792,1.0051506284148595,1.0552855852868064,1.1116370926408505,1.0080724913679373,1.086648147381698,1.1143699776350424,1.0105507697583895,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.58,-0.5454325713740114,0.037560509377250154,1.1059513339991316,1.369590654185159,1.1057168243984499,0.9997879566727103,0.9977866290887494,1.1118089155111917,1.005296418867618,1.0552855852868064,1.1151318208027758,1.0083009862381986,1.086648147381698,1.1179502570230577,1.010849413220144,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.59,-0.5283381380147112,0.037560509377250154,1.1092105107433228,1.3803900342038358,1.1089687873756406,0.99978207620164,0.9977866290887494,1.1152482777492383,1.0054433012917172,1.0552855852868064,1.1186733991738407,1.0085311925363711,1.086648147381698,1.1215785335170945,1.0111502935231684,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.6,-0.5115310196983299,0.037560509377250154,1.1125126344508833,1.3912994069190392,1.1122636022586416,0.9997761533806179,0.9977866290887494,1.118732961298661,1.0055912415330437,1.0552855852868064,1.1222616457830865,1.0087630567332972,1.086648147381698,1.1252546206915315,1.0114533407046988,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.61,-0.4950017177471194,0.037560509377250154,1.1158575411100922,1.402317160426741,1.11560110539875,0.9997701895610375,0.9977866290887494,1.122262793080254,1.0057402058364813,1.0552855852868064,1.1258963824074806,1.0089965259251656,1.086648147381698,1.1289783359604215,1.011758485619299,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.62,-0.47874119687533906,0.037560509377250154,1.1192450700315129,1.4134416972590285,1.118981136462195,0.9997641860782909,0.9977866290887494,1.1258376035207713,1.0058901608466078,1.0552855852868064,1.1295774344341443,1.0092315478345957,1.086648147381698,1.1327495004363486,1.0120656599402806,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.63,-0.46274085552889793,0.037560509377250154,1.1226750637278524,1.4246714342132372,1.1224035383102613,0.9997581442517397,0.9977866290887494,1.1294572264261429,1.0060410736083958,1.0552855852868064,1.1333046307298025,1.00946807081174,1.086648147381698,1.1365679387966812,1.0123747961611416,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.64,-0.44699249856075873,0.037560509377250154,1.1261473678000151,1.4360048021958352,1.1258681568855957,0.9997520653846886,0.9977866290887494,1.133121498861229,1.0061929115679045,1.0552855852868064,1.1370778035169642,1.009706043835366,1.086648147381698,1.1404334791567223,1.012685827596983,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.65,-0.4314883120247935,0.037560509377250154,1.12966183082894,1.4474402460796518,1.1293748411042837,0.9997459507643578,0.9977866290887494,1.1368302610356769,1.0063456425729431,1.0552855852868064,1.1408967882563867,1.0099454165138984,1.086648147381698,1.144345952949295,1.0129986883858686,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.66,-0.41622083989400505,0.037560509377250154,1.13321830427284,1.4589762245731601,1.1329234427533164,0.9997398016618582,0.9977866290887494,1.14058335619548,1.0064992348736952,1.0552855852868064,1.1447614235354129,1.0101861390863958,1.086648147381698,1.148305194810347,1.0133133134901027,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.67,-0.4011829625294645,0.037560509377250154,1.1368166423695003,1.470611210100647,1.1365138163931048,0.9997336193321692,0.9977866290887494,1.1443806305198738,1.0066536571232874,1.0552855852868064,1.148671550961802,1.0104281624234424,1.086648147381698,1.1523110424701835,1.013629638697396,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
